Model poisoning,poisoned nodes,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Processing_Time,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Processing_Time,Training Accuracy,Training Loss,Test Accuracy,Test Loss,Processing Time
5,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
5,1,0.382,88.811,1.376,55.158,930.73,0.508,86.831,1.405,55.518,836.09,87.821,0.445,55.338,1.3905,883.41
5,2,0.446,84.554,1.661,51.587,722.09,0.668,80.99,1.516,57.936,699.05,82.772,0.557,54.7615,1.5885,710.57
5,3,0.606,81.881,1.368,54.965,643.95,0.705,80.792,1.98,52.777,609.97,81.337,0.6555,53.871,1.674,626.96
5,4,0.475,84.851,1.682,55.158,684.26,0.386,88.316,1.516,51.19,888.81,86.5835,0.4305,53.174,1.599,786.535
10,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
10,1,0.678,75.379,1.295,54.597,696.45,0.338,89.702,1.624,53.968,961.18,82.5405,0.508,54.2825,1.4595,828.815
10,2,0.44,84.257,1.292,60.912,1150.59,0.438,83.811,1.327,56.746,1123.52,84.034,0.439,58.829,1.3095,1137.055
10,3,0.529,0.824,1.385,58.73,929.22,1.078,70.495,1.917,51.587,736.07,35.6595,0.8035,55.1585,1.651,832.645
10,4,0.621,77.722,1.348,52.777,837.33,0.47,85.445,1.472,53.968,809.14,81.5835,0.5455,53.3725,1.41,823.235
15,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
15,1,0.713,80.693,2.15,54.761,698.78,0.543,82.772,1.58,54.365,793.27,81.7325,0.628,54.563,1.865,746.025
15,2,0.4,86.732,1.326,59.523,1166.31,0.357,88.613,1.314,58.531,1157.84,87.6725,0.3785,59.027,1.32,1162.075
15,3,0.768,76.039,1.428,54.365,665.56,0.56,0.842,2.058,57.936,879.67,38.4405,0.664,56.1505,1.743,772.615
15,4,0.374,90.297,1.388,56.746,630.22,0.469,88.316,1.285,58.333,623.24,89.3065,0.4215,57.5395,1.3365,626.73
20,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
20,1,0.706,76.831,1.308,55.952,693.9,0.938,77.92,2.146,54.761,963.33,77.3755,0.822,55.3565,1.727,828.615
20,2,0.54,81.089,1.315,54.761,804.82,0.498,82.475,1.213,59.92,702.19,81.782,0.519,57.3405,1.264,753.505
20,3,0.549,82.178,1.326,56.379,553.83,0.078,97.821,1.753,58.333,722.12,89.9995,0.3135,57.356,1.5395,637.975
20,4,0.681,77.425,1.637,55.82,618.88,0.792,76.336,1.676,57.936,671.36,76.8805,0.7365,56.878,1.6565,645.12
25,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
25,1,0.709,81.832,1.319,52.777,772.1,0.985,74.95,1.899,44.047,645.15,78.391,0.847,48.412,1.609,708.625
25,2,0.382,88.811,1.568,52.777,930.73,0.43,86.435,1.854,52.238,836.09,87.623,0.406,52.5075,1.711,883.41
25,3,0.475,84.851,1.682,55.158,684.26,0.386,88.316,1.516,51.19,888.81,86.5835,0.4305,53.174,1.599,786.535
25,4,0.679,76.138,1.37,57.142,628.79,0.694,81.881,1.412,55.555,671.67,79.010,0.6865,56.3485,1.391,650.23
30,0,0.456,75.841,1.464,58.73,1231.37,0.166,95.297,1.7832,50.992,1153.42,85.569,0.311,54.861,1.6236,1192.395
30,1,0.295,93.267,1.553,52.38,865.38,0.446,84.554,1.661,51.587,772.09,88.9105,0.3705,51.9835,1.607,818.735
30,2,0.395,86.831,1.52,56.349,1119.41,0.512,0.823,1.31,57.936,1068.37,43.827,0.4535,57.1425,1.415,1093.89
30,3,0.562,81.386,1.565,59.92,710.06,0.361,83.207,1.559,58.73,805.76,82.2965,0.4615,59.325,1.562,757.91
30,4,0.581,82.178,1.396,54.761,455.785,0.529,81.089,1.656,48.412,932.67,81.6335,0.555,51.5865,1.526,694.2275
